id_seguridad,fecha,comuna,tipo_delito,sector,cantidad_casos,gravedad,edad_involucrado,codigo_temp_x,observacion_manual,id_old
39.0,2025/01/21,illapel,Robo,Rural,1.0,,18.0,TMP-001,sin validar,532420
40.0,2024/02/27,Andacollo,,Norte,8.0,,61.0,ERROR,,191718
41.0,Feb-09-2025,Serena,Robo,Sur,18.0,Media,30.0,,revisar,86421
42.0,2025/01/30,Ovalle,Accidente,NORTE,4.0,baja,46.0,ERROR,revisar,157335
43.0,14/09/2024,andacollo,Hurto,  ,9.0,baja,49.0,,revisar,761914
44.0,Aug-01-2024,Vicuña,Fraude,Centro,3.0,,25.0,,,519165
45.0,Jan-30-2024,la serena,Hurto,centro,11.0,baja,22.0,,revisar,440431
46.0,2025/04/01,Montepatria,Violencia,Sur,18.0,Baja,67.0,,dato ingresado manualmente,36653
47.0,Feb-07-2024,COQUIMBO,,Rural,4.0,ALTA,38.0,,revisar,171789
48.0,2024/12/22,illapel,,Norte,4.0,Alta,21.0,,,614855
,,Montepatria,Accidente,rural,18.0,Baja,65.0,TMP-002,ok,797001
50.0,2024/02/15,Illapel,Robo,centro,6.0,ALTA,46.0,TMP-001,,184939
51.0,2024/11/03,OVALLE,Hurto,Centro,11.0,Alta,34.0,,dato ingresado manualmente,903885
52.0,sin fecha,LaSerena,,,12.0,,66.0,TMP-002,,842349
53.0,03/10/2025,OVALLE,Violencia,centro,12.0,baja,20.0,TMP-002,revisar,399815
54.0,Sep-03-2025,LaSerena,robo,Rural,4.0,baja,50.0,,revisar,37196
,,VICUÑA,Robo,Centro,,Baja,32.0,TMP-001,,160476
56.0,01/05/2025,VICUÑA,Hurto,Norte,8.0,,61.0,TMP-001,ok,396464
57.0,2024-08-31,SALAMANCA,,NORTE,6.0,Baja,130.0,,,529089
58.0,Jan-02-2024,illapel,Hurto,NORTE,"19,0",,,,sin validar,292912
59.0,2024-09-15,La Serena,Accidente,Sur,17.0,Media,65.0,,dato ingresado manualmente,306487
60.0,Dec-22-2025,OVALLE,Robo,Norte,5.0,Baja,14.0,,ok,586458
,Dec-03-2025,La Serena,Violencia,Norte,13.0,ALTA,25.0,TMP-002,sin validar,325484
62.0,12/12/2024,coquimbo,Accidente,,13.0,baja,24.0,TMP-002,ok,786745
63.0,02/02/2024,Monte Patria,Hurto,Norte,6.0,,59.0,ERROR,revisar,438129
64.0,2025-03-22,SALAMANCA,Hurto,,11.0,Baja,69.0,TMP-002,dato ingresado manualmente,137730
65.0,2024/03/18,La Serena,Robo,,10.0,,40.0,ERROR,,141388
66.0,Apr-27-2025,Montepatria,Accidente,Rural,8.0,Alta,17.0,TMP-001,sin validar,740884
67.0,Sep-07-2025,LaSerena,Robo,,8.0,,41.0,,ok,697991
68.0,09/01/2024,Coquimbo ,Accidente,centro,7.0,baja,45.0,ERROR,revisar,283866
69.0,2024/08/20,illapel,robo,,13.0,baja,48.0,TMP-001,,525577
70.0,06/01/2024,Ovalle,Hurto,NORTE,1.0,Media,26.0,TMP-001,sin validar,546469
71.0,,monte patria,Violencia,,3.0,Baja,51.0,,sin validar,276351
72.0,18/07/2025,OVALLE,Accidente,centro,3.0,baja,14.0,TMP-002,sin validar,647033
73.0,sin fecha,Ovalle,,,3.0,ALTA,54.0,TMP-002,revisar,9348
74.0,2025/05/06,Illapel,Hurto,Norte,1.0,baja,24.0,,ok,300557
75.0,,Illapel,Robo,Norte,18.0,,21.0,ERROR,dato ingresado manualmente,102348
76.0,2024-08-11,COQUIMBO,Accidente,Sur,12.0,Media,27.0,,,373360
77.0,2024-08-19,SALAMANCA,Robo,NORTE,,,35.0,TMP-001,dato ingresado manualmente,483307
78.0,sin fecha,monte patria,accidente,centro,10.0,Baja,57.0,,ok,150620
79.0,2025-07-03,Salamanca,Fraude,,4.0,Baja,36.0,,revisar,479240
80.0,Apr-27-2024,Monte Patria,Robo,,13.0,ALTA,48.0,ERROR,,691090
81.0,Oct-02-2024,COQUIMBO,Violencia,centro,8.0,Alta,28.0,,sin validar,44571
82.0,2025/07/18,coquimbo,Hurto,Rural,18.0,,32.0,ERROR,,657513
83.0,2024-11-01,Vicuña,,,5.0,ALTA,"25,0",,revisar,412162
84.0,Oct-20-2025,Monte Patria,,centro,19.0,,57.0,TMP-001,sin validar,479894
85.0,,VICUÑA,Accidente,NORTE,10.0,Alta,32.0,TMP-002,sin validar,109891
86.0,22/06/2025,monte patria,Accidente,NORTE,1.0,ALTA,33.0,ERROR,,437777
87.0,19/07/2024,OVALLE,Hurto,Sur,19.0,Baja,16.0,ERROR,dato ingresado manualmente,836873
88.0,2025/03/22,Montepatria,,NORTE,12.0,ALTA,67.0,TMP-002,,487370
89.0,2024/11/24,COQUIMBO,robo,centro,"7,0",Baja,43.0,ERROR,revisar,972611
90.0,2025/10/30,Illapel,Hurto,,15.0, Alta ,27.0,TMP-001,,81241
91.0,,ovalle,robo,Sur,"1,0",Baja,130.0,,,617609
92.0,2025/09/04,Ovalle,nan,Centro,2.0,,69.0,ERROR,sin validar,117615
93.0,Jan-21-2025,Illapel,Hurto,NORTE,4.0,ALTA,33.0,,,347832
94.0,Jul-27-2025,ovalle,Accidente,Norte,14.0,Baja,25.0,TMP-001,,323542
95.0,2025-07-12,monte patria,,Sur,5.0,baja,54.0,,dato ingresado manualmente,950303
96.0,2024-11-15,La Serena,Fraude,CENTRO,3.0,,19.0,ERROR,revisar,898346
97.0,18/01/2025,illapel,robo,NORTE,19.0,baja,48.0,TMP-002,,380136
98.0,,coquimbo,,centro,3.0,Baja,61.0,ERROR,revisar,686398
99.0,2024-08-30,Andacollo,Hurto,Norte,2.0,Media,22.0,TMP-001,ok,853175
100.0,2024-05-11,Vicuña,,centro,9.0,,17.0,TMP-001,revisar,165770
101.0,sin fecha,Montepatria,Hurto,Sur,13.0,,56.0,ERROR,revisar,491381
102.0,04/02/2024,LA SERENA,,,17.0,,69.0,,,475352
103.0,29/06/2025,Andacollo, Violencia ,Sur,10.0,baja,36.0,,sin validar,938283
104.0,,Illapel,Hurto,centro,14.0,ALTA,46.0,ERROR,dato ingresado manualmente,672774
105.0,,Ovalle,robo,centro,12.0,,58.0,ERROR,sin validar,381029
106.0,2024-11-21,SALAMANCA,Hurto,Rural,5.0,,57.0,,,436342
107.0,18/08/2025,illapel,,NORTE,11.0,Media,57.0,,,700919
108.0,2024-02-22,Salamanca,Hurto,NORTE,16.0,baja,51.0,TMP-002,ok,198354
109.0,,andacollo,Hurto,centro,17.0,baja,19.0,ERROR,sin validar,998057
110.0,08/08/2024,Monte Patria,Violencia,centro,3.0,,53.0,TMP-002,,556128
111.0,2024/05/27,Montepatria,Violencia,,16.0,BAJA,27.0,,sin validar,302570
112.0,2024/07/19,ovalle,Fraude,,1.0,Baja,17.0,TMP-002,,359309
113.0,2024-11-21,VICUÑA,robo,Centro,9.0,Alta,,,ok,463777
114.0,2024/04/10,LA SERENA,Violencia,Sur,18.0,Media,28.0,,ok,609435
115.0,18/04/2024,Coquimbo,Robo,NORTE,19.0,Alta,68.0,ERROR,ok,219209
116.0,20/02/2025,Salamanca,Hurto,Norte,14.0,Baja,21.0,TMP-001,sin validar,263438
117.0,sin fecha,OVALLE,Hurto,,17.0,baja,60.0,TMP-001,sin validar,425216
118.0,2025/04/07,Andacollo,,centro,1.0,,52.0,,revisar,287887
,2025-09-24,Illapel,robo,Rural,10.0,ALTA,,ERROR,,191628
120.0,2024-01-14,monte patria,Robo,Centro,1.0,baja,26.0,TMP-001,revisar,967156
121.0,Feb-16-2025,monte patria,Violencia,Centro,"5,0",Media,45.0,TMP-001,revisar,688338
122.0,Jan-19-2024,SALAMANCA,Accidente,NORTE,1.0,,34.0,ERROR,dato ingresado manualmente,327245
123.0,2024/03/09,coquimbo,robo,Rural,4.0,Baja,24.0,,dato ingresado manualmente,305731
124.0,2024/11/24,Coquimbo ,Robo,Centro,"6,0",Baja,37.0,,,902284
125.0,Mar-24-2024,COQUIMBO,,,"16,0",baja,65.0,,,670678
126.0,2024-09-15,SALAMANCA,,Rural,"-3,0",Media,39.0,TMP-002,ok,247036
127.0,sin fecha,LaSerena,Hurto,Rural,10.0,Media,61.0,TMP-001,dato ingresado manualmente,373412
128.0,22/12/2024,SALAMANCA,Fraude,centro,4.0,,14.0,TMP-001,sin validar,261177
129.0,Aug-16-2025,LaSerena,,Centro,"2,0",Media,61.0,TMP-002,dato ingresado manualmente,960299
130.0,2024/03/22,Coquimbo,,Sur,9.0,baja,21.0,TMP-001,ok,992207
131.0,,vicuna,robo,centro,6.0,baja,69.0,TMP-002,dato ingresado manualmente,459311
132.0,Mar-06-2024,Vicuña,,Rural,3.0,baja,,ERROR,sin validar,882516
133.0,2025/07/07,coquimbo,Robo,Centro,"18,0",Media,46.0,TMP-002,dato ingresado manualmente,151272
134.0,17/04/2024,La Serena,Hurto,centro,17.0,,63.0,TMP-002,revisar,248096
135.0,, Illapel ,Violencia,,16.0,baja,27.0,,,837434
136.0,2024-02-10,Illapel,Robo,Centro,,ALTA,37.0,,,226262
137.0,2024/06/06,la serena,robo,,2.0,Baja,43.0,,ok,554290
138.0,Jan-31-2024,VICUÑA,robo,Centro,8.0,Media,59.0,ERROR,,891973
139.0,Jul-28-2024,vicuna,Violencia,Centro,7.0,Alta,59.0,,,344939
140.0,28/11/2025,illapel,Violencia,,9.0,Baja,60.0,,,58530
141.0,2024-02-10,Coquimbo ,Fraude,Centro,19.0,baja,31.0,,sin validar,800195
142.0,2025-12-28,Coquimbo,,Rural,1.0,baja,14.0,TMP-001,ok,126460
143.0,13/06/2024,illapel,Hurto,Sur,3.0,ALTA,59.0,TMP-001,,381030
144.0,2024/10/27,SALAMANCA,,Sur,"9,0",,15.0,TMP-002,sin validar,331961
145.0,2024/01/24,LaSerena,Hurto,Rural,7.0,baja,58.0,ERROR,revisar,862652
146.0,23/09/2025,Andacollo,Accidente,Rural,19.0,baja,46.0,,sin validar,336422
147.0,26/06/2024,Ovalle,,Norte,15.0,ALTA,31.0,TMP-001,revisar,783106
148.0,2024-11-14,LaSerena,Fraude,Centro,9.0,Baja,53.0,,dato ingresado manualmente,667480
149.0,2024-06-29,andacollo,robo,NORTE,19.0,Baja,52.0,TMP-001,dato ingresado manualmente,133869
150.0,sin fecha,andacollo,Violencia,,12.0,Baja,49.0,ERROR,revisar,655097
151.0,Jan-02-2025,Serena,Robo,centro,16.0,,53.0,TMP-002,dato ingresado manualmente,819477
152.0,sin fecha,illapel,Fraude,Rural,16.0,,44.0,,,623036
153.0,Jun-03-2024,vicuna,Hurto,Rural,8.0,Baja,"61,0",TMP-001,,35034
154.0,Jul-28-2024,Monte Patria,Accidente,SUR,6.0,,33.0,TMP-002,,214873
155.0,Oct-14-2025,Ovalle,Robo,,11.0,Alta,32.0,ERROR,revisar,933913
156.0,2024/11/02,vicuna,Hurto,Sur,12.0,baja,40.0,TMP-001,,357544
157.0,Sep-18-2025,Montepatria,robo,Rural,6.0,Media,63.0,ERROR,,511537
158.0,, Vicuña ,Hurto,,"8,0",,"69,0",,dato ingresado manualmente,567755
159.0,2024/08/24,Ovalle,Hurto,NORTE,5.0,Alta,54.0,TMP-001,dato ingresado manualmente,97462
160.0,2025-01-21,Monte Patria,Violencia,NORTE,4.0,ALTA,41.0,ERROR,revisar,901040
161.0,Nov-22-2025,Illapel,robo,Sur,,Baja,48.0,TMP-002,sin validar,132309
162.0,2025-12-10,Ovalle,Fraude,CENTRO,10.0,ALTA,24.0,ERROR,,897730
163.0,02/06/2024,Coquimbo ,robo,Norte,5.0,,64.0,ERROR,revisar,238666
164.0,,Montepatria,robo,NORTE,14.0,Media,37.0,ERROR,,972060
165.0,sin fecha,Coquimbo ,Accidente,Rural,8.0,ALTA,"25,0",ERROR,,542709
166.0,2025-06-29,andacollo,Violencia,,,Baja,56.0,,,280367
167.0,2024/11/20,LA SERENA,Violencia,centro,16.0,Alta,22.0,ERROR,,430519
168.0,22/08/2025,COQUIMBO,FRAUDE,,3.0,,24.0,TMP-002,dato ingresado manualmente,377280
169.0,28/07/2024,Andacollo,robo,,,Media,57.0,TMP-002,revisar,800047
170.0,07/10/2024,monte patria,,Norte,4.0,baja,53.0,ERROR,revisar,841262
171.0,Jun-22-2025,LA SERENA,robo,Centro,2.0,baja,53.0,,dato ingresado manualmente,929651
172.0,2025-01-09,andacollo,Fraude,Sur,-3.0,ALTA,18.0,,,923856
173.0,2024-02-02,SALAMANCA,,,7.0,Media,43.0,TMP-001,ok,533117
174.0,30/10/2025,coquimbo,,Centro,19.0,Baja,26.0,ERROR,revisar,909480
175.0,2025/01/18,VICUÑA,robo,Norte,10.0,,42.0,,dato ingresado manualmente,863484
176.0,14/10/2024,Serena,robo,,4.0,ALTA,59.0,ERROR,sin validar,680020
177.0,2025-01-08,Andacollo,,centro,9.0,,52.0,,sin validar,848997
178.0,29/11/2025,COQUIMBO,Violencia,NORTE,8.0,Baja,63.0,TMP-002,,471848
,2024-06-30,Vicuña,Hurto,Sur,12.0,Media,43.0,,,482977
180.0,Sep-14-2025,Andacollo,Fraude,NORTE,9.0,baja,41.0,,,823804
181.0,02/06/2024,COQUIMBO,,,19.0,baja,38.0,,revisar,743162
182.0,2025/07/16,SALAMANCA,Accidente,Rural,,Baja,50.0,TMP-002,revisar,899855
183.0,09/06/2024,Coquimbo,Violencia,Norte,19.0,,32.0,TMP-001,ok,547892
184.0,2025-12-14,VICUÑA,Accidente,Norte,14.0,,38.0,ERROR,revisar,382193
185.0,2024-01-14,monte patria,NAN,Sur,"6,0",ALTA,31.0,ERROR,,72622
186.0,2024-10-04,illapel,Hurto,Sur,8.0,ALTA,51.0,,revisar,974117
187.0,15/11/2024,Monte Patria,Fraude,Norte,18.0,,33.0,TMP-001,revisar,716590
188.0,09/12/2025,Serena,,Norte,4.0,Alta,27.0,TMP-002,revisar,381539
,2025-03-16,Coquimbo,Fraude,Sur,nan,Media,41.0,TMP-001,revisar,176050
190.0,Apr-19-2024,Illapel,Robo,,0.0,,,TMP-001,ok,264400
191.0,25/11/2024,LaSerena,robo,Centro,16.0,Baja,"63,0",TMP-002,ok,213882
192.0,Mar-27-2025,ovalle,Robo,Sur,18.0,ALTA,60.0,,ok,389132
193.0,15/05/2025,ovalle,robo,Norte,5.0,Media,54.0,ERROR,,600955
,2025-05-29,coquimbo,robo,Sur,16.0,ALTA,42.0,,,845153
195.0,2024-11-11,La Serena,robo,,10.0,Alta,"36,0",TMP-002,revisar,579773
196.0,2025/02/18,Coquimbo ,Accidente,,4.0,Baja,"15,0",,ok,944403
197.0,2025-10-16,ovalle,,Sur,5.0,,35.0,TMP-002,sin validar,364375
198.0,2025-04-24,Illapel,robo,Norte,2.0,Media,16.0,TMP-002,sin validar,620692
199.0,Jun-15-2025,Coquimbo,Robo,NORTE,2.0, Baja ,26.0,TMP-001,,737523
200.0,09/11/2025,VICUÑA,Fraude,,,,36.0,,ok,491059
201.0,Sep-30-2025,Coquimbo ,Violencia,Centro,17.0,,35.0,ERROR,,315034
202.0,,LaSerena,robo,NORTE,13.0,Baja,14.0,,sin validar,329985
203.0,12/12/2025,la serena,Accidente,NORTE,4.0,Baja,68.0,,,32017
204.0,Oct-07-2024,ovalle,Hurto,,7.0,,16.0,TMP-002,ok,612133
205.0,2024-11-20,LA SERENA,,NORTE,12.0,,17.0,,sin validar,332384
206.0,,Illapel,Accidente,Norte,12.0,Baja,54.0,TMP-001,dato ingresado manualmente,33269
207.0,16/12/2025,LaSerena,, centro ,17.0,,16.0,TMP-002,revisar,903187
208.0,Sep-21-2024,andacollo,Robo,Rural,3.0,Baja,19.0,ERROR,,225053
209.0,2025-10-10,Montepatria,,centro,9.0,,43.0,ERROR,,298867
210.0,sin fecha,SALAMANCA,robo,Centro,4.0,Alta,61.0,,,974357
211.0,28/02/2025,illapel,Hurto,NORTE,7.0,baja,21.0,,,41118
212.0,Jul-02-2025,andacollo,Robo,Sur,"17,0",Alta,69.0,,,634157
213.0,Jul-05-2025,COQUIMBO,Violencia,Centro,4.0,Alta,60.0,ERROR,revisar,553183
214.0,2025-05-23,SALAMANCA,Violencia,NORTE,12.0,Baja,68.0,,sin validar,902206
215.0,2024/03/17,SALAMANCA,robo,NORTE,2.0,Baja,58.0,,revisar,729697
216.0,Jan-22-2024,illapel,Robo,,19.0,baja,17.0,,sin validar,425395
217.0,30/03/2024,LA SERENA,Hurto,Centro,18.0,ALTA,37.0,ERROR,dato ingresado manualmente,116657
218.0,2024-11-28,Serena,Hurto,NORTE,16.0,,53.0,,revisar,921601
219.0,2024-11-28,la serena,Fraude,Sur,12.0,Media,38.0,TMP-001,ok,716091
220.0,Sep-28-2024,LA SERENA,Hurto, centro ,16.0,ALTA,46.0,,,806354
221.0,2025/02/07,Montepatria,ACCIDENTE,Norte,3.0,Baja,40.0,,sin validar,97919
222.0,,coquimbo,Accidente,Norte,15.0,,36.0,ERROR,,307630
223.0,,SALAMANCA,robo,Norte,,ALTA,67.0,,sin validar,39495
224.0,Dec-05-2025,LA SERENA,,,1.0,baja,,,ok,447518
225.0,,Salamanca,Accidente,Centro,"15,0",Baja,26.0,,,488084
226.0,sin fecha,monte patria,robo,centro,19.0,ALTA,35.0,TMP-002,dato ingresado manualmente,835677
227.0,26/02/2025,Coquimbo,,Centro,"16,0",,32.0,ERROR,revisar,284947
228.0,2025/11/14,Vicuña,FRAUDE,,9.0,ALTA,54.0,,ok,409873
229.0,Nov-18-2024,Salamanca,Violencia,centro,,,"55,0",,ok,73331
230.0,2024-11-03,LaSerena,Violencia,Centro,1.0,Media,57.0,,ok,226832
231.0,2025/12/05,laserena,Fraude,NORTE,17.0,Baja,63.0,,dato ingresado manualmente,249093
232.0,2025/02/10,LA SERENA,Fraude,Centro,13.0,Media,60.0,,,929187
233.0,01/05/2024,Salamanca,Hurto,Norte,1.0,ALTA,"37,0",TMP-002,ok,668078
234.0,26/12/2024,Serena,Fraude,Norte,5.0, baja ,22.0,,ok,902082
235.0,11/02/2025,Illapel,,Norte,14.0,ALTA,69.0,,revisar,739648
236.0,Nov-06-2025,Serena,Robo,Sur,4.0,,36.0,,ok,980653
237.0,,SALAMANCA,Fraude,Sur,5.0,,34.0,TMP-002,sin validar,234916
238.0,2025-09-29,LaSerena,Hurto,,6.0,Alta,24.0,ERROR,,664385
239.0,2025-09-08,coquimbo,Accidente,Norte,9.0,ALTA,20.0,,sin validar,906950
240.0,Aug-22-2025,OVALLE,Fraude,NORTE,7.0,,64.0,TMP-001,sin validar,344328
241.0,Jan-15-2025,vicuna,,,1.0,baja,18.0,TMP-001,,233988
242.0,2025/01/15,LaSerena,Fraude,Norte,8.0,baja,50.0,TMP-001,dato ingresado manualmente,942491
243.0,,Salamanca,Robo,Rural,7.0,Media,45.0,TMP-002,,75185
244.0,sin fecha,Vicuña,Hurto,,8.0,ALTA,42.0,ERROR,revisar,116587
245.0,sin fecha,OVALLE,accidente,Sur,1.0,,15.0,ERROR,dato ingresado manualmente,153375
246.0,2025/06/04,Coquimbo ,,Centro,16.0,Media,,TMP-001,,968156
247.0,,Ovalle,Accidente,NORTE,19.0,ALTA,65.0,TMP-001,dato ingresado manualmente,298363
248.0,,ovalle,  ,Centro,5.0,Alta,41.0,ERROR,,144397
249.0,,LaSerena,Hurto,Sur,15.0,Baja,24.0,,sin validar,729796
250.0,2024-04-30,Coquimbo,robo,,19.0,Alta,66.0,,sin validar,126827
251.0,20/01/2024,LaSerena,Robo,Norte,10.0,Media,32.0,,sin validar,677694
252.0,2024-04-05,La Serena,Hurto,NORTE,9.0,Baja,51.0,TMP-002,dato ingresado manualmente,448903
253.0,2024/12/28,Andacollo,Robo,centro,,baja,48.0,,revisar,337874
254.0,2024/08/18,Serena,Hurto,NORTE,0.0,,20.0,TMP-002,revisar,580871
255.0,29/03/2025,Serena,Accidente,centro,1.0,Media,63.0,,sin validar,502080
256.0,2025-03-19,illapel,accidente,,4.0,,29.0,ERROR,ok,88983
257.0,2024-05-08,andacollo,Fraude,NORTE,6.0,Media,48.0,,,588014
258.0,Sep-14-2025,coquimbo,robo,Sur,16.0,Media,67.0,TMP-001,sin validar,372281
259.0,2024-08-21,Coquimbo,,Sur,11.0,ALTA,16.0,,,181177
260.0,,ovalle,Fraude,Rural,16.0,ALTA,66.0,TMP-001,,118016
261.0,2024-09-28,coquimbo,Robo,Rural,9.0,Baja,41.0,,,106999
262.0,2025/02/05,Andacollo,Fraude,NORTE,8.0,Media,54.0,TMP-001,dato ingresado manualmente,712498
263.0,06/12/2024,coquimbo,Fraude,Norte,1.0,,30.0,,revisar,697009
264.0,Dec-14-2024,vicuna,robo,Rural,10.0,,31.0,ERROR,,834150
265.0,26/05/2024,Ovalle,,Centro,1.0,Media,20.0,TMP-002,,804000
266.0,,Illapel,,Sur,9.0,ALTA,,TMP-001,revisar,216727
267.0,sin fecha,La Serena,violencia,Rural,17.0,,"28,0",,revisar,38093
268.0,May-24-2025,Monte Patria,Accidente,NORTE,18.0,ALTA,49.0,TMP-001,,645505
269.0,13/07/2024,ovalle,Accidente,Centro,11.0,,15.0,TMP-002,,898756
270.0,,OVALLE,Accidente,centro,19.0,Alta,"30,0",TMP-001,dato ingresado manualmente,994708
271.0,,COQUIMBO,Violencia,NORTE,7.0,ALTA,68.0,TMP-001,,222044
272.0,2025/11/15,SALAMANCA,Violencia,Sur,"16,0",Baja,69.0,TMP-002,revisar,271346
273.0,11/01/2024,montepatria,Accidente,Rural,17.0,,nan,ERROR,sin validar,115725
274.0,Jul-03-2024,la serena,fraude,Sur,15.0,Media,24.0,TMP-002,,390351
275.0,2025/08/03,Illapel,,SUR,"18,0",Baja,30.0,ERROR,revisar,526451
276.0,2024/01/11,La Serena,Violencia,Rural,7.0,ALTA,56.0,TMP-002,sin validar,449716
277.0,Feb-27-2025,illapel,Robo,Centro,4.0,Media,22.0,TMP-001,,645813
278.0,18/08/2025,La Serena,,Centro,7.0,Alta,68.0,,,502226
279.0,2024/08/20,coquimbo,Violencia,centro,15.0,ALTA,15.0,,revisar,316019
280.0,09/04/2025,Monte Patria,Accidente,,13.0,Media,25.0,,ok,163144
,2024-02-08,vicuna, robo ,NORTE,18.0,baja,61.0,TMP-002,,118325
282.0,,OVALLE,robo,sur,7.0,Baja,43.0,,dato ingresado manualmente,356896
283.0,2024/06/10,VICUÑA,Accidente,Norte,6.0,Baja,19.0,TMP-001,,308758
284.0,2025-10-06,illapel,Robo,Centro,5.0,baja,19.0,,sin validar,577865
285.0,2024-05-24,SALAMANCA,,Rural,1.0,baja,57.0,TMP-002,sin validar,996686
286.0,2024-06-06,ovalle,Fraude,Norte,4.0,Alta,"15,0",ERROR,,708169
287.0,Jul-29-2024,Illapel,,Centro,3.0,Baja,55.0,,,884393
288.0,2024/08/15,Salamanca,Hurto,,1.0,baja,38.0,,revisar,118762
289.0,2025-05-30,LA SERENA,Accidente,RURAL,7.0,Alta,"52,0",TMP-002,revisar,537197
290.0,Aug-06-2024,Serena,Robo,Sur,15.0,baja,,ERROR,sin validar,300721
291.0,,Montepatria,Violencia,NORTE,6.0,,67.0,,,70776
292.0,Dec-22-2025,serena,robo,Rural,17.0,,42.0,TMP-002,,544337
293.0,2024-12-05,LaSerena,,Rural,1.0,,37.0,TMP-002,ok,940352
294.0,2024-06-13,Andacollo, Violencia ,Norte,8.0,baja,47.0,,dato ingresado manualmente,288793
295.0,2024-11-01,Coquimbo,Violencia, Sur ,12.0,baja,16.0,,ok,517325
296.0,2025-06-09,Coquimbo,,Sur,2.0,Alta,40.0,TMP-001,ok,389137
297.0,2024/12/31,LaSerena,Hurto,Sur,6.0,,33.0,ERROR,sin validar,115817
,Jun-07-2025,Coquimbo,Robo,Norte,17.0,Baja,30.0,,ok,929175
299.0,06/11/2024,LaSerena,Robo,Norte,5.0,Alta,59.0,,revisar,334540
300.0,sin fecha,monte patria,Accidente,Centro,2.0,,56.0,,dato ingresado manualmente,242826
301.0,Dec-25-2024,SALAMANCA,Fraude,,2.0,Baja,62.0,,ok,31429
302.0,Mar-05-2025,Andacollo,Accidente,Norte,2.0,ALTA,58.0,,dato ingresado manualmente,237310
303.0,2024/06/29,ovalle,,,15.0,Alta,69.0,TMP-001,sin validar,654781
