fecha,comuna,tipo_delito,sector,cantidad_casos,gravedad,edad_involucrado,mes,mes_año
2024-02-10,illapel,robo,centro,NaN,alta,37,2.0,2024-02
2024-06-06,la serena,robo,NaN,2.0,baja,43,6.0,2024-06
2024-01-31,vicuna,robo,centro,8.0,media,59,1.0,2024-01
2024-07-28,vicuna,violencia,centro,7.0,alta,59,7.0,2024-07
2025-11-28,illapel,violencia,NaN,9.0,baja,60,11.0,2025-11
2024-02-10,coquimbo,fraude,centro,19.0,baja,31,2.0,2024-02
2025-12-28,coquimbo,NaN,rural,1.0,baja,14,12.0,2025-12
2024-06-13,illapel,hurto,sur,3.0,alta,59,6.0,2024-06
2024-10-27,salamanca,NaN,sur,NaN,NaN,15,10.0,2024-10
2024-01-24,la serena,hurto,rural,7.0,baja,58,1.0,2024-01
2025-09-23,andacollo,accidente,rural,19.0,baja,46,9.0,2025-09
2024-06-26,ovalle,NaN,norte,15.0,alta,31,6.0,2024-06
2024-11-14,la serena,fraude,centro,9.0,baja,53,11.0,2024-11
2024-06-29,andacollo,robo,norte,19.0,baja,52,6.0,2024-06
NaN,andacollo,violencia,NaN,12.0,baja,49,NaN,NaN
2025-01-02,la serena,robo,centro,16.0,NaN,53,1.0,2025-01
NaN,illapel,fraude,rural,16.0,NaN,44,NaN,NaN
2024-06-03,vicuna,hurto,rural,8.0,baja,NaN,6.0,2024-06
2024-07-28,monte patria,accidente,sur,6.0,NaN,33,7.0,2024-07
2025-10-14,ovalle,robo,NaN,11.0,alta,32,10.0,2025-10
2024-11-02,vicuna,hurto,sur,12.0,baja,40,11.0,2024-11
2025-09-18,monte patria,robo,rural,6.0,media,63,9.0,2025-09
NaN,vicuna,hurto,NaN,NaN,NaN,NaN,NaN,NaN
2024-08-24,ovalle,hurto,norte,5.0,alta,54,8.0,2024-08
2025-01-21,monte patria,violencia,norte,4.0,alta,41,1.0,2025-01
2025-11-22,illapel,robo,sur,NaN,baja,48,11.0,2025-11
2025-12-10,ovalle,fraude,centro,10.0,alta,24,12.0,2025-12
2024-02-06,coquimbo,robo,norte,5.0,NaN,64,2.0,2024-02
NaN,monte patria,robo,norte,14.0,media,37,NaN,NaN
NaN,coquimbo,accidente,rural,8.0,alta,NaN,NaN,NaN
2025-06-29,andacollo,violencia,NaN,NaN,baja,56,6.0,2025-06
2024-11-20,la serena,violencia,centro,16.0,alta,22,11.0,2024-11
2025-08-22,coquimbo,fraude,NaN,3.0,NaN,24,8.0,2025-08
2024-07-28,andacollo,robo,NaN,NaN,media,57,7.0,2024-07
2024-07-10,monte patria,NaN,norte,4.0,baja,53,7.0,2024-07
2025-06-22,la serena,robo,centro,2.0,baja,53,6.0,2025-06
2025-01-09,andacollo,fraude,sur,-3.0,alta,18,1.0,2025-01
2024-02-02,salamanca,NaN,NaN,7.0,media,43,2.0,2024-02
2025-10-30,coquimbo,NaN,centro,19.0,baja,26,10.0,2025-10
2025-01-18,vicuna,robo,norte,10.0,NaN,42,1.0,2025-01
2024-10-14,la serena,robo,NaN,4.0,alta,59,10.0,2024-10
2025-01-08,andacollo,NaN,centro,9.0,NaN,52,1.0,2025-01
2025-11-29,coquimbo,violencia,norte,8.0,baja,63,11.0,2025-11
2024-06-30,vicuna,hurto,sur,12.0,media,43,6.0,2024-06
2025-09-14,andacollo,fraude,norte,9.0,baja,41,9.0,2025-09
2024-02-06,coquimbo,NaN,NaN,19.0,baja,38,2.0,2024-02
2025-07-16,salamanca,accidente,rural,NaN,baja,50,7.0,2025-07
2024-09-06,coquimbo,violencia,norte,19.0,NaN,32,9.0,2024-09
2025-12-14,vicuna,accidente,norte,14.0,NaN,38,12.0,2025-12
2024-01-14,monte patria,NaN,sur,NaN,alta,31,1.0,2024-01
2024-10-04,illapel,hurto,sur,8.0,alta,51,10.0,2024-10
2024-11-15,monte patria,fraude,norte,18.0,NaN,33,11.0,2024-11
2025-09-12,la serena,NaN,norte,4.0,alta,27,9.0,2025-09
2025-03-16,coquimbo,fraude,sur,NaN,media,41,3.0,2025-03
2024-04-19,illapel,robo,NaN,0.0,NaN,NaN,4.0,2024-04
2024-11-25,la serena,robo,centro,16.0,baja,NaN,11.0,2024-11
2025-03-27,ovalle,robo,sur,18.0,alta,60,3.0,2025-03
2025-05-15,ovalle,robo,norte,5.0,media,54,5.0,2025-05
2025-05-29,coquimbo,robo,sur,16.0,alta,42,5.0,2025-05
2024-11-11,la serena,robo,NaN,10.0,alta,NaN,11.0,2024-11
2025-02-18,coquimbo,accidente,NaN,4.0,baja,NaN,2.0,2025-02
2025-10-16,ovalle,NaN,sur,5.0,NaN,35,10.0,2025-10
2025-04-24,illapel,robo,norte,2.0,media,16,4.0,2025-04
2025-06-15,coquimbo,robo,norte,2.0,baja,26,6.0,2025-06
2025-09-11,vicuna,fraude,NaN,NaN,NaN,36,9.0,2025-09
2025-09-30,coquimbo,violencia,centro,17.0,NaN,35,9.0,2025-09
NaN,la serena,robo,norte,13.0,baja,14,NaN,NaN
2025-12-12,la serena,accidente,norte,4.0,baja,68,12.0,2025-12
2024-10-07,ovalle,hurto,NaN,7.0,NaN,16,10.0,2024-10
2024-11-20,la serena,NaN,norte,12.0,NaN,17,11.0,2024-11
NaN,illapel,accidente,norte,12.0,baja,54,NaN,NaN
2025-12-16,la serena,NaN,centro,17.0,NaN,16,12.0,2025-12
2024-09-21,andacollo,robo,rural,3.0,baja,19,9.0,2024-09
2025-10-10,monte patria,NaN,centro,9.0,NaN,43,10.0,2025-10
NaN,salamanca,robo,centro,4.0,alta,61,NaN,NaN
2025-02-28,illapel,hurto,norte,7.0,baja,21,2.0,2025-02
2025-07-02,andacollo,robo,sur,NaN,alta,69,7.0,2025-07
2025-07-05,coquimbo,violencia,centro,4.0,alta,60,7.0,2025-07
2025-05-23,salamanca,violencia,norte,12.0,baja,68,5.0,2025-05
2024-03-17,salamanca,robo,norte,2.0,baja,58,3.0,2024-03
2024-01-22,illapel,robo,NaN,19.0,baja,17,1.0,2024-01
2024-03-30,la serena,hurto,centro,18.0,alta,37,3.0,2024-03
2024-11-28,la serena,hurto,norte,16.0,NaN,53,11.0,2024-11
2024-11-28,la serena,fraude,sur,12.0,media,38,11.0,2024-11
2024-09-28,la serena,hurto,centro,16.0,alta,46,9.0,2024-09
2025-02-07,monte patria,accidente,norte,3.0,baja,40,2.0,2025-02
NaN,coquimbo,accidente,norte,15.0,NaN,36,NaN,NaN
NaN,salamanca,robo,norte,NaN,alta,67,NaN,NaN
2025-12-05,la serena,NaN,NaN,1.0,baja,NaN,12.0,2025-12
NaN,salamanca,accidente,centro,NaN,baja,26,NaN,NaN
NaN,monte patria,robo,centro,19.0,alta,35,NaN,NaN
2025-02-26,coquimbo,NaN,centro,NaN,NaN,32,2.0,2025-02
2025-11-14,vicuna,fraude,NaN,9.0,alta,54,11.0,2025-11
2024-11-18,salamanca,violencia,centro,NaN,NaN,NaN,11.0,2024-11
2024-11-03,la serena,violencia,centro,1.0,media,57,11.0,2024-11
2025-12-05,la serena,fraude,norte,17.0,baja,63,12.0,2025-12
2025-02-10,la serena,fraude,centro,13.0,media,60,2.0,2025-02
2024-01-05,salamanca,hurto,norte,1.0,alta,NaN,1.0,2024-01
2024-12-26,la serena,fraude,norte,5.0,baja,22,12.0,2024-12
2025-11-02,illapel,NaN,norte,14.0,alta,69,11.0,2025-11
2025-11-06,la serena,robo,sur,4.0,NaN,36,11.0,2025-11
NaN,salamanca,fraude,sur,5.0,NaN,34,NaN,NaN
2025-09-29,la serena,hurto,NaN,6.0,alta,24,9.0,2025-09
2025-09-08,coquimbo,accidente,norte,9.0,alta,20,9.0,2025-09
2025-08-22,ovalle,fraude,norte,7.0,NaN,64,8.0,2025-08
2025-01-15,vicuna,NaN,NaN,1.0,baja,18,1.0,2025-01
2025-01-15,la serena,fraude,norte,8.0,baja,50,1.0,2025-01
NaN,salamanca,robo,rural,7.0,media,45,NaN,NaN
NaN,vicuna,hurto,NaN,8.0,alta,42,NaN,NaN
NaN,ovalle,accidente,sur,1.0,NaN,15,NaN,NaN
2025-06-04,coquimbo,NaN,centro,16.0,media,NaN,6.0,2025-06
NaN,ovalle,accidente,norte,19.0,alta,65,NaN,NaN
NaN,ovalle,NaN,centro,5.0,alta,41,NaN,NaN
NaN,la serena,hurto,sur,15.0,baja,24,NaN,NaN
2024-04-30,coquimbo,robo,NaN,19.0,alta,66,4.0,2024-04
2024-01-20,la serena,robo,norte,10.0,media,32,1.0,2024-01
2024-04-05,la serena,hurto,norte,9.0,baja,51,4.0,2024-04
2024-12-28,andacollo,robo,centro,NaN,baja,48,12.0,2024-12
2024-08-18,la serena,hurto,norte,0.0,NaN,20,8.0,2024-08
2025-03-29,la serena,accidente,centro,1.0,media,63,3.0,2025-03
2025-03-19,illapel,accidente,NaN,4.0,NaN,29,3.0,2025-03
2024-05-08,andacollo,fraude,norte,6.0,media,48,5.0,2024-05
2025-09-14,coquimbo,robo,sur,16.0,media,67,9.0,2025-09
2024-08-21,coquimbo,NaN,sur,11.0,alta,16,8.0,2024-08
NaN,ovalle,fraude,rural,16.0,alta,66,NaN,NaN
2024-09-28,coquimbo,robo,rural,9.0,baja,41,9.0,2024-09
2025-02-05,andacollo,fraude,norte,8.0,media,54,2.0,2025-02
2024-06-12,coquimbo,fraude,norte,1.0,NaN,30,6.0,2024-06
2024-12-14,vicuna,robo,rural,10.0,NaN,31,12.0,2024-12
2024-05-26,ovalle,NaN,centro,1.0,media,20,5.0,2024-05
NaN,illapel,NaN,sur,9.0,alta,NaN,NaN,NaN
NaN,la serena,violencia,rural,17.0,NaN,NaN,NaN,NaN
2025-05-24,monte patria,accidente,norte,18.0,alta,49,5.0,2025-05
2024-07-13,ovalle,accidente,centro,11.0,NaN,15,7.0,2024-07
NaN,ovalle,accidente,centro,19.0,alta,NaN,NaN,NaN
NaN,coquimbo,violencia,norte,7.0,alta,68,NaN,NaN
2025-11-15,salamanca,violencia,sur,NaN,baja,69,11.0,2025-11
2024-11-01,monte patria,accidente,rural,17.0,NaN,NaN,11.0,2024-11
2024-07-03,la serena,fraude,sur,15.0,media,24,7.0,2024-07
2025-08-03,illapel,NaN,sur,NaN,baja,30,8.0,2025-08
2024-01-11,la serena,violencia,rural,7.0,alta,56,1.0,2024-01
2025-02-27,illapel,robo,centro,4.0,media,22,2.0,2025-02
2025-08-18,la serena,NaN,centro,7.0,alta,68,8.0,2025-08
2024-08-20,coquimbo,violencia,centro,15.0,alta,15,8.0,2024-08
2025-09-04,monte patria,accidente,NaN,13.0,media,25,9.0,2025-09
2024-02-08,vicuna,robo,norte,18.0,baja,61,2.0,2024-02
NaN,ovalle,robo,sur,7.0,baja,43,NaN,NaN
2024-06-10,vicuna,accidente,norte,6.0,baja,19,6.0,2024-06
2025-10-06,illapel,robo,centro,5.0,baja,19,10.0,2025-10
2024-05-24,salamanca,NaN,rural,1.0,baja,57,5.0,2024-05
2024-06-06,ovalle,fraude,norte,4.0,alta,NaN,6.0,2024-06
2024-07-29,illapel,NaN,centro,3.0,baja,55,7.0,2024-07
2024-08-15,salamanca,hurto,NaN,1.0,baja,38,8.0,2024-08
2025-05-30,la serena,accidente,rural,7.0,alta,NaN,5.0,2025-05
2024-08-06,la serena,robo,sur,15.0,baja,NaN,8.0,2024-08
NaN,monte patria,violencia,norte,6.0,NaN,67,NaN,NaN
2025-12-22,la serena,robo,rural,17.0,NaN,42,12.0,2025-12
2024-12-05,la serena,NaN,rural,1.0,NaN,37,12.0,2024-12
2024-06-13,andacollo,violencia,norte,8.0,baja,47,6.0,2024-06
2024-11-01,coquimbo,violencia,sur,12.0,baja,16,11.0,2024-11
2025-06-09,coquimbo,NaN,sur,2.0,alta,40,6.0,2025-06
2024-12-31,la serena,hurto,sur,6.0,NaN,33,12.0,2024-12
2025-06-07,coquimbo,robo,norte,17.0,baja,30,6.0,2025-06
2024-06-11,la serena,robo,norte,5.0,alta,59,6.0,2024-06
NaN,monte patria,accidente,centro,2.0,NaN,56,NaN,NaN
2024-12-25,salamanca,fraude,NaN,2.0,baja,62,12.0,2024-12
2025-03-05,andacollo,accidente,norte,2.0,alta,58,3.0,2025-03
2024-06-29,ovalle,NaN,NaN,15.0,alta,69,6.0,2024-06
2025-08-16,ovalle,robo,rural,2.0,alta,47,8.0,2025-08
2025-11-06,la serena,accidente,centro,13.0,baja,42,11.0,2025-11
2024-06-20,salamanca,violencia,rural,19.0,baja,30,6.0,2024-06
2024-04-10,illapel,NaN,sur,1.0,alta,51,4.0,2024-04
2025-07-29,la serena,robo,NaN,NaN,media,31,7.0,2025-07
2024-07-12,la serena,violencia,centro,12.0,NaN,55,7.0,2024-07
NaN,illapel,hurto,NaN,9.0,NaN,16,NaN,NaN
2024-07-08,la serena,NaN,norte,12.0,NaN,50,7.0,2024-07
2025-02-06,ovalle,robo,sur,17.0,NaN,22,2.0,2025-02
2025-04-07,vicuna,violencia,NaN,17.0,alta,53,4.0,2025-04
2024-09-11,vicuna,robo,norte,15.0,alta,60,9.0,2024-09
2025-01-21,coquimbo,NaN,norte,9.0,baja,43,1.0,2025-01
2025-06-13,la serena,violencia,centro,14.0,NaN,39,6.0,2025-06
2024-07-02,la serena,violencia,centro,13.0,alta,51,7.0,2024-07
2025-04-08,vicuna,violencia,norte,12.0,alta,35,4.0,2025-04
2025-06-19,coquimbo,accidente,norte,8.0,alta,NaN,6.0,2025-06
NaN,vicuna,robo,norte,6.0,alta,33,NaN,NaN
NaN,andacollo,robo,centro,8.0,alta,64,NaN,NaN
2024-12-28,salamanca,robo,sur,1.0,baja,37,12.0,2024-12
2025-11-23,ovalle,NaN,NaN,10.0,NaN,22,11.0,2025-11
2025-07-25,la serena,robo,NaN,3.0,media,16,7.0,2025-07
2024-02-02,vicuna,accidente,centro,9.0,NaN,19,2.0,2024-02
2025-06-21,la serena,hurto,centro,7.0,alta,54,6.0,2025-06
2024-05-27,andacollo,accidente,norte,19.0,baja,14,5.0,2024-05
2025-02-23,monte patria,robo,sur,9.0,media,16,2.0,2025-02
2024-08-17,illapel,robo,rural,7.0,baja,24,8.0,2024-08
2025-09-21,illapel,accidente,rural,5.0,alta,25,9.0,2025-09
2024-09-19,la serena,accidente,norte,1.0,media,43,9.0,2024-09
2025-07-20,monte patria,NaN,norte,1.0,baja,42,7.0,2025-07
2024-08-01,vicuna,robo,sur,11.0,alta,53,8.0,2024-08
2025-09-08,coquimbo,robo,norte,15.0,alta,36,9.0,2025-09
2025-12-14,coquimbo,hurto,centro,11.0,baja,55,12.0,2025-12
2025-12-11,salamanca,accidente,norte,7.0,baja,65,12.0,2025-12
2024-03-06,illapel,accidente,centro,2.0,alta,51,3.0,2024-03
2024-11-20,monte patria,violencia,norte,19.0,baja,39,11.0,2024-11
2024-07-13,monte patria,NaN,sur,19.0,baja,NaN,7.0,2024-07
2024-11-29,la serena,robo,rural,18.0,NaN,NaN,11.0,2024-11
2024-04-24,ovalle,fraude,norte,NaN,baja,NaN,4.0,2024-04
2024-04-29,coquimbo,robo,centro,1.0,baja,62,4.0,2024-04
2025-08-06,la serena,robo,NaN,16.0,NaN,NaN,8.0,2025-08
2025-06-09,la serena,NaN,centro,NaN,NaN,41,6.0,2025-06
NaN,salamanca,hurto,sur,4.0,NaN,NaN,NaN,NaN
2025-02-16,salamanca,NaN,NaN,7.0,alta,20,2.0,2025-02
2024-08-31,ovalle,NaN,norte,4.0,baja,17,8.0,2024-08
2024-12-24,salamanca,NaN,NaN,16.0,alta,NaN,12.0,2024-12
NaN,ovalle,hurto,rural,13.0,baja,20,NaN,NaN
2024-04-08,la serena,NaN,centro,11.0,media,24,4.0,2024-04
2025-05-21,vicuna,violencia,NaN,14.0,alta,14,5.0,2025-05
2024-06-06,la serena,fraude,rural,NaN,NaN,19,6.0,2024-06
2024-08-23,coquimbo,violencia,centro,7.0,alta,NaN,8.0,2024-08
2024-10-27,salamanca,fraude,centro,15.0,NaN,NaN,10.0,2024-10
NaN,vicuna,violencia,rural,5.0,alta,NaN,NaN,NaN
2025-09-15,la serena,violencia,sur,2.0,alta,41,9.0,2025-09
2025-10-17,vicuna,NaN,centro,NaN,baja,55,10.0,2025-10
NaN,monte patria,hurto,centro,3.0,baja,23,NaN,NaN
2025-09-26,coquimbo,fraude,NaN,NaN,baja,NaN,9.0,2025-09
2025-10-26,coquimbo,violencia,norte,19.0,media,25,10.0,2025-10
NaN,la serena,NaN,norte,14.0,baja,18,NaN,NaN
2024-09-21,salamanca,violencia,NaN,19.0,media,21,9.0,2024-09
2025-12-27,ovalle,fraude,sur,3.0,media,34,12.0,2025-12
2025-12-05,la serena,violencia,centro,14.0,alta,44,12.0,2025-12
2024-10-07,la serena,violencia,norte,9.0,NaN,49,10.0,2024-10
2025-08-08,andacollo,robo,norte,2.0,alta,NaN,8.0,2025-08
NaN,coquimbo,violencia,norte,19.0,NaN,37,NaN,NaN
NaN,coquimbo,NaN,rural,4.0,media,57,NaN,NaN
2024-10-13,coquimbo,violencia,centro,3.0,alta,42,10.0,2024-10
2025-08-18,ovalle,accidente,rural,7.0,baja,53,8.0,2025-08
2025-08-25,coquimbo,robo,centro,18.0,alta,34,8.0,2025-08
2024-05-05,la serena,hurto,norte,5.0,media,NaN,5.0,2024-05
NaN,monte patria,violencia,norte,18.0,NaN,39,NaN,NaN
2025-12-25,la serena,accidente,centro,12.0,baja,45,12.0,2025-12
2024-04-14,la serena,robo,norte,5.0,baja,16,4.0,2024-04
2025-02-23,la serena,fraude,norte,10.0,baja,29,2.0,2025-02
NaN,coquimbo,hurto,centro,6.0,baja,60,NaN,NaN
2024-01-13,ovalle,hurto,centro,7.0,NaN,30,1.0,2024-01
2025-02-11,coquimbo,robo,rural,18.0,alta,28,2.0,2025-02
2025-07-04,la serena,NaN,centro,15.0,baja,NaN,7.0,2025-07
2025-03-28,ovalle,robo,centro,5.0,baja,18,3.0,2025-03
NaN,ovalle,violencia,rural,18.0,media,20,NaN,NaN
